"startTime","name","startX","startY","startDirection","endTime","endX","endY","endDirection","diffX","diffY","diffD","Radius1","Radius2","robotDist","leftMotorDist","rightMotorDist","leftMotorSpeed","rightMotorSpeed"
"0.88","test","1.0","3.3100000098347664","180.0","0.9","1.0","3.300000010058284","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.9","test","1.0","3.300000010058284","180.0","0.92","1.0","3.2900000102818012","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.92","test","1.0","3.2900000102818012","180.0","0.94","1.0","3.2800000105053186","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882413144","0.49999998882413144"
"0.94","test","1.0","3.2800000105053186","180.0","0.96","1.0","3.270000010728836","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.96","test","1.0","3.270000010728836","180.0","0.98","1.0","3.2600000109523535","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"0.98","test","1.0","3.2600000109523535","180.0","1.0","1.0","3.250000011175871","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.0","test","1.0","3.250000011175871","180.0","1.02","1.0","3.2400000113993883","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.02","test","1.0","3.2400000113993883","180.0","1.04","1.0","3.2300000116229057","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.04","test","1.0","3.2300000116229057","180.0","1.06","1.0","3.220000011846423","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.06","test","1.0","3.220000011846423","180.0","1.08","1.0","3.2100000120699406","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.08","test","1.0","3.2100000120699406","180.0","1.1","1.0","3.200000012293458","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.1","test","1.0","3.200000012293458","180.0","1.12","1.0","3.1900000125169754","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.12","test","1.0","3.1900000125169754","180.0","1.14","1.0","3.180000012740493","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.4999999888241342","0.4999999888241342"
"1.14","test","1.0","3.180000012740493","180.0","1.16","1.0","3.1700000129640102","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.16","test","1.0","3.1700000129640102","180.0","1.18","1.0","3.1600000131875277","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.18","test","1.0","3.1600000131875277","180.0","1.2","1.0","3.150000013411045","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.2","test","1.0","3.150000013411045","180.0","1.22","1.0","3.1400000136345625","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.22","test","1.0","3.1400000136345625","180.0","1.24","1.0","3.13000001385808","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.24","test","1.0","3.13000001385808","180.0","1.26","1.0","3.125","180.0","0.0","-0.00500001385807991","0.0","Infinity","Infinity","0.00500001385807991","0.00500001385807991","0.00500001385807991","0.2500006929039953","0.2500006929039953"
"1.26","test","1.0","3.125","180.0","1.28","1.0","3.1099999863654375","180.0","0.0","-0.015000013634562492","0.0","Infinity","Infinity","0.015000013634562492","0.015000013634562492","0.015000013634562492","0.750000681728124","0.750000681728124"
"1.28","test","1.0","3.1099999863654375","180.0","1.3","1.0","3.099999986588955","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.3","test","1.0","3.099999986588955","180.0","1.32","1.0","3.0899999868124723","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.32","test","1.0","3.0899999868124723","180.0","1.34","1.0","3.0799999870359898","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.34","test","1.0","3.0799999870359898","180.0","1.36","1.0","3.069999987259507","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.36","test","1.0","3.069999987259507","180.0","1.38","1.0","3.0599999874830246","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.4999999888241342","0.4999999888241342"
"1.38","test","1.0","3.0599999874830246","180.0","1.4","1.0","3.049999987706542","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.4","test","1.0","3.049999987706542","180.0","1.42","1.0","3.0399999879300594","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.42","test","1.0","3.0399999879300594","180.0","1.44","1.0","3.029999988153577","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.44","test","1.0","3.029999988153577","180.0","1.46","1.0","3.0199999883770943","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.46","test","1.0","3.0199999883770943","180.0","1.48","1.0","3.0099999886006117","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.48","test","1.0","3.0099999886006117","180.0","1.5","1.0","2.999999988824129","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.5","test","1.0","2.999999988824129","180.0","1.52","1.0","2.9899999890476465","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.52","test","1.0","2.9899999890476465","180.0","1.54","1.0","2.979999989271164","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.54","test","1.0","2.979999989271164","180.0","1.56","1.0","2.9699999894946814","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.56","test","1.0","2.9699999894946814","180.0","1.58","1.0","2.9599999897181988","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.58","test","1.0","2.9599999897181988","180.0","1.6","1.0","2.949999989941716","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.6","test","1.0","2.949999989941716","180.0","1.62","1.0","2.9399999901652336","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.62","test","1.0","2.9399999901652336","180.0","1.64","1.0","2.929999990388751","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.4999999888241342","0.4999999888241342"
"1.64","test","1.0","2.929999990388751","180.0","1.66","1.0","2.9199999906122684","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.66","test","1.0","2.9199999906122684","180.0","1.68","1.0","2.909999990835786","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.68","test","1.0","2.909999990835786","180.0","1.7","1.0","2.8999999910593033","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.7","test","1.0","2.8999999910593033","180.0","1.72","1.0","2.8899999912828207","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.72","test","1.0","2.8899999912828207","180.0","1.74","1.0","2.879999991506338","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.74","test","1.0","2.879999991506338","180.0","1.76","1.0","2.8699999917298555","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.76","test","1.0","2.8699999917298555","180.0","1.78","1.0","2.859999991953373","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.78","test","1.0","2.859999991953373","180.0","1.8","1.0","2.8499999921768904","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
"1.8","test","1.0","2.8499999921768904","180.0","1.82","1.0","2.839999992400408","180.0","0.0","-0.009999999776482582","0.0","Infinity","Infinity","0.009999999776482582","0.009999999776482582","0.009999999776482582","0.49999998882412866","0.49999998882412866"
