"time","name","x","y","direction","nextX","nextY","nextDirection"
"1.94","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4999318","1.28","180.0"
"1.96","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4999318","1.27","179.804"
"1.98","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.499966","1.26","179.804"
"2.0","Nille"," - no avalible pose values","","","","",""
"2.0","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.4900029","1.2502444","271.4"
"2.0","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.5","1.25","180.0"
"2.0","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4997556","1.240003","181.4"
"2.02","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.4800148","1.2507329","272.8"
"2.02","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.499267","1.2300149","182.79999"
"2.04","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.4700413","1.2514604","274.172"
"2.04","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4985347","1.2200418","184.19998"
"2.06","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.4600885","1.2524314","275.572"
"2.06","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4975588","1.2100894","185.59998"
"2.08","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.450162","1.2536404","276.944"
"2.08","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.49634","1.200164","186.99997"
"2.1","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.4402664","1.2550819","278.288"
"2.1","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4948792","1.1902713","188.39996"
"2.12","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.4304073","1.2567551","279.632"
"2.12","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4931772","1.1804172","189.79996"
"2.14","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.420592","1.2586687","281.03198"
"2.14","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4912348","1.1706076","191.19995"
"2.16","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.410818","1.2607833","282.20798"
"2.16","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4890532","1.1608484","192.59995"
"2.18","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.4010484","1.262917","282.31998"
"2.18","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.486634","1.1511455","193.99994"
"2.2","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.3912978","1.2651366","282.82397"
"2.2","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4839785","1.1415045","195.39993"
"2.22","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.381526","1.2672608","282.26398"
